Producer,Wine Name,Score,Region,Vintage,Colour,Description
Tiki Wine & Vineyards,Single Vineyard Sauvignon Blanc,89,Canterbury,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Tiki Wine & Vineyards,Maui Sauvignon Blanc,86,Canterbury,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Seifried Estate,Aotea Sauvignon Blanc,91,Nelson,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Seifried Estate,Old Coach Road Sauvignon Blanc,88,Nelson,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Seifried Estate,Sauvignon Blanc,92,Nelson,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Yealands Estate Wines,Single Vineyard Sauvignon Blanc,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Yealands Estate Wines,Single Block S1 Sauvignon Blanc,93,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Yealands Estate Wines,Single Block L5 Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Yealands Estate Wines,Single Vineyard P.G.R,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Yealands Estate Wines,Single Vineyard Albarino,93,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Small and Small,Sauvignon Blanc,87,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Forrest Wines,The Doctors Sauvignon Blanc,86,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Catalina Sounds,Sauvignon Blanc,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Flying Kiwi,Sauvignon Blanc,92,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Crowded House,Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Catalina Sounds,Pinot Gris,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Delta Estates,Sauvignon Blanc,92,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Lake Chalice,The Raptor Sauvignon Blanc,92,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Lake Chalice,The Falcon Sauvignon Blanc,93,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Lake Chalice,The Nest Sauvignon Blanc,95,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,Emma Marris Sauvignon Blanc,93,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,The King's Favour Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,The Ned Sauvignon Blanc,87,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,The Ned Pinnacle Sauvignon Blanc,86,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,The Ned Skyscraper Sauvignon Blanc,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,Leefield Station Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Delta Estate,Hatters Hill Sauvignon Blanc,94,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Kono,Tohu Pinot Gris,91,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Kono,Tohu Sauvignon Blanc,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Kono,Tohu Unoaked Chardonnay,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Kono,Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Hunter's,Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Marks & Spencer Sauvignon Blanc,91,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Origin Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Vicar's Choice Pinot Gris,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Sauvignon Blanc,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Origin,90,Marlborough,2022,Rose,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Pioneer Rose,90,Marlborough,2022,Rose,A great improvement with Oaky notes and a hint of raspberries and peaches
Asda,Extra Special Sauvignon Blanc,87,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Summerhouse,Sauvignon Blanc,91,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Reverend Sloane Sauvignon Blanc,86,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Pioneer Block 29 Blind Block Albarino,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Pioneer Block 3 43 Degrees Sauvignon Blanc,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Pioneer Block 20 Cash Block Sauvignon Blanc,94,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Pioneer Block 6 Oh! Block Sauvignon Blanc,94,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Reserve Sauvignon Blanc,93,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Rapaura Springs,Rohe Sauvignon Blanc,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Rapaura Springs,Bull Paddock Vineyard Sauvignon Blanc,96,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Otu Wines,Limited Release Sauvignon Blanc,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Otu,Sauvignon Blanc,92,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Oyster Bay,Sauvignon Blanc,86,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Oyster Bay,Pinot Gris,88,Hawke's Bay,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Oyster Bay,Rose,90,Marlborough,2022,Rose,A great improvement with Oaky notes and a hint of raspberries and peaches
Invivo,X Sjp Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Babich,Sauvignon Blanc,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Babich,Black Label Sauvignon Blanc,93,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Babich,Single Vineyard Organic Sauvignon Blanc,87,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Rimapere,Sauvignon Blanc,94,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Asda,Extra Special Awatere Sauvignon Blanc,92,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Spy Valley Wines,S Block Syrah,89,Marlborough,NV,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
no.1 Family Estate,Assemble Brut,86,Marlborough,NV,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Family Estate,No1,94,Marlborough,NV,Rose,A great improvement with Oaky notes and a hint of raspberries and peaches
Mumm Marlborough,Prestige Cuvee Brut,90,Marlborough,NV,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Oyster Bay,Cuvee Rose,87,Not Applicable,NV,Rose,A great improvement with Oaky notes and a hint of raspberries and peaches
Oyster Bay,Cuvee Brut,89,Hawke's Bay,NV,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Spy Valley Wines,Echelon Brut,91,Marlborough,2020,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,Diamond Heart Wahopai Cuvee Brut,93,Marlborough,2018,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,Diamond Heart Blanc De Blancs Brut,90,Not Applicable,2018,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Rose Brut,Rose Brut,90,Marlborough,2017,Rose,A great improvement with Oaky notes and a hint of raspberries and peaches
Spy Valley Wines,Gewurztraminer,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Spy Valley Wines,Riesling,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Stoneleigh,Riesling,91,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Sileni,Grand Reserve Straits Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Ara Single Estate Pinot Gris,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Brancott Estate,Flight Pinot Gris,87,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Mc Arthur Ridge,Lilico Pinot Noir Rose,88,Central Otago,2022,Rose,A great improvement with Oaky notes and a hint of raspberries and peaches
Mc Arthur Ridge,Falls Dam Pinot Gris,88,Central Otago,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Forrest Wines,Albarino,87,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Forrest Wines,The Doctors' Rose,87,Marlborough,2022,Rose,A great improvement with Oaky notes and a hint of raspberries and peaches
Lake Chalice,The Nest Pinot Gris,87,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Lake Chalice,The Falcon Riesling,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Rapaura Springs,Rohe Sauvignon Blanc,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Rapaura Springs,Rohe Sauvignon Blanc,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Asda,Kakapo White,88,South Island,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Rapaura Springs,Reserve Sauvignon Blanc,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,The Ned Noble Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Gemstone Riesling,88,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Greystone Wines,Organic Riesling,94,Waipara,2019,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Pioneer Block 9 Big John Riesling,94,Marlborough,2020,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Riesling,88,Not Applicable,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
